Nazwa,E1,E2,g,I,P,z
160-V1/REI60,9.7,12.89,2.28,34026,224.1,4.8
160-V2/REI60,9.7,12.89,2.28,34077,276,4.79
160-V3/REI60,9.7,12.89,2.28,34128,326.4,4.78
160-V4/REI60,9.7,12.89,2.28,34186,338.7,4.77
160-V5/REI60,9.7,12.89,2.28,34276,394.1,4.75
160-V6/REI60,9.7,12.89,2.28,34376,486.2,4.73
160-V7/REI60,9.7,12.89,2.28,34454,525.5,4.72
200-V1/REI60,9.75,12.94,2.64,62495,225,6.71
200-V2/REI60,9.75,12.94,2.64,62595,277.3,6.7
200-V3/REI60,9.75,12.94,2.64,62695,328.2,6.68
200-V4/REI60,9.75,12.94,2.64,62809,356,6.67
200-V5/REI60,9.75,12.94,2.64,62985,397.2,6.65
200-V6/REI60,9.75,12.94,2.64,63160,465.6,6.63
200-V7/REI60,9.75,12.94,2.64,63334,531,6.61
200-V1/REI120,9.75,12.94,2.64,62448,364.2,4.7
200-V2/REI120,9.75,12.94,2.64,62535,427.8,4.68
200-V3/REI120,9.75,12.94,2.64,62622,504.1,4.67
200-V4/REI120,9.75,12.94,2.64,62708,577.6,4.65
265-V1/REI60,10,13.31,3.45,144947,331.1,9.84
265-V2/REI60,10,13.31,3.45,145712,477,9.79
265-V3/REI60,10,13.31,3.45,146470,611.8,9.74
265-V4/REI60,10,13.31,3.45,147221,603.9,9.7
265-V5/REI60,10,13.31,3.45,147391,751.7,8.94
265-V1/REI120,10,13.31,3.45,144418,461.8,6.74
265-V2/REI120,10,13.31,3.45,144716,543.7,6.99
265-V3/REI120,10,13.31,3.45,145016,622.5,7.16
265-V4/REI120,10,13.31,3.45,145662,782.6,7.38
265-V5/REI120,10,13.31,3.45,146195,906.3,7.48
320-V1/REI60,10.17,13.45,4.03,250088,410.3,12.3
320-V2/REI60,10.17,13.45,4.03,251284,554.7,12.25
320-V2/REI60 >13m,10.17,13.45,4.03,251949,652.1,9.82
320-V3/REI60,10.17,13.45,4.03,251879,623.2,12.22
320-V3/REI60 >13m,10.17,13.45,4.03,252547,724.6,10.06
320-V4/REI60,10.17,13.45,4.03,253060,680.6,12.17
320-V4/REI60 >13m,10.17,13.45,4.03,253734,789.9,10.2
320-V5/REI60,10.17,13.45,4.03,253647,736.6,12.15
320-V5/REI60 >13m,10.17,13.45,4.03,254324,849.5,10.33
320-V6/REI60,10.17,13.45,4.03,253877,714.2,11.76
320-V6/REI60 >13m,10.17,13.45,4.03,254555,829.6,9.91
320-V7/REI60,10.17,13.45,4.03,254064,759,11.5
320-V7/REI60 >13m,10.17,13.45,4.03,254744,876.1,9.78
320-V8/REI60,10.17,13.45,4.03,254283,808.7,11.24
320-V8/REI60 >13m,10.17,13.45,4.03,254965,927.8,9.65
320-V9/REI60,10.17,13.45,4.03,254585,862.4,11.02
320-V9/REI60 >13m,10.17,13.45,4.03,255269,983.9,9.56
320-V1/REI120,10.17,13.45,4.03,249547,501.4,10.07
320-V2/REI120,10.17,13.45,4.03,249628,544,9.79
320-V3/REI120,10.17,13.45,4.03,250466,645.2,10.2
320-V3/REI120 >13m,10.17,13.45,4.03,251130,739.9,8.28
320-V4/REI120,10.17,13.45,4.03,250543,685.7,9.97
320-V4/REI120 >13m,10.17,13.45,4.03,251208,781.3,8.18
320-V5/REI120,10.17,13.45,4.03,250998,753.4,10.03
320-V5/REI120 >13m,10.17,13.45,4.03,251666,852.4,8.41
320-V6/REI120,10.17,13.45,4.03,251184,845,9.61
320-V6/REI120 >13m,10.17,13.45,4.03,251854,946.1,8.2
320-V7/REI120,10.17,13.45,4.03,252397,872.5,10.04
320-V7/REI120 >13m,10.17,13.45,4.03,253073,982,8.64
320-V8/REI120,10.17,13.45,4.03,252530,930.6,9.78
320-V8/REI120 >13m,10.17,13.45,4.03,253207,1041.6,8.5
400-V1/REI60,10.23,13.5,4.64,449855,413.1,16.34
400-V2/REI60,10.23,13.5,4.64,451967,559.7,16.28
400-V2/REI60 >13m,10.23,13.5,4.64,453134,654,13.04
400-V3/REI60,10.23,13.5,4.64,453017,629.6,16.25
400-V3/REI60 >13m,10.23,13.5,4.64,454188,727.5,13.38
400-V4/REI60,10.23,13.5,4.64,455106,689.2,16.19
400-V4/REI60 >13m,10.23,13.5,4.64,456285,794.1,13.57
400-V5/REI60,10.23,13.5,4.64,456145,665,16.16
400-V5/REI60 >13m,10.23,13.5,4.64,457328,773.4,13.44
400-V6/REI60,10.23,13.5,4.64,457207,768.9,15.5
400-V6/REI60 >13m,10.23,13.5,4.64,458397,896.7,12.69
400-V7/REI60,10.23,13.5,4.64,457747,820.4,15.24
400-V7/REI60 >13m,10.23,13.5,4.64,458940,951.3,12.62
400-V8/REI60,10.23,13.5,4.64,460148,1000.5,12.53
400-V1/REI120,10.23,13.5,4.64,449767,570.2,13.67
400-V1/REI120 >13m,10.23,13.5,4.64,450929,658.9,10.73
400-V2/REI120,10.23,13.5,4.64,450202,644.6,13.29
400-V2/REI120 >13m,10.23,13.5,4.64,451367,735.4,10.72
400-V3/REI120,10.23,13.5,4.64,452355,780.3,13.93
400-V3/REI120 >13m,10.23,13.5,4.64,453528,878.6,11.78
400-V4/REI120,10.23,13.5,4.64,452774,849.4,13.62
400-V4/REI120 >13m,10.23,13.5,4.64,453951,949.7,11.67
400-V5/REI120,10.23,13.5,4.64,454479,976.8,13.73
400-V5/REI120 >13m,10.23,13.5,4.64,455663,1082.9,12.06
400-V6/REI120,10.23,13.5,4.64,455327,1037.9,13.77
400-V6/REI120 >13m,10.23,13.5,4.64,456515,1146.8,12.2
400-V7/REI120,10.23,13.5,4.64,456255,1162.3,13.4
400-V7/REI120 >13m,10.23,13.5,4.64,457448,1289.8,11.69
500-V1/REI60,10.42,13.75,5.65,826129,417.1,21.4
500-V2/REI60,10.42,13.75,5.65,829764,567.3,21.36
500-V2/REI60 >13m,10.42,13.75,5.65,831746,658.1,17.13
500-V3/REI60,10.42,13.75,5.65,831574,639.2,21.33
500-V3/REI60 >13m,10.42,13.75,5.65,833561,733.1,17.57
500-V4/REI60,10.42,13.75,5.65,835175,625.2,21.26
